id,zanr
403,22
403,9
403,35
383,4
383,24
1048,14
1048,37
1048,6
836,4
836,8
836,22
836,36
836,35
1164,2
1164,4
1164,10
1164,27
289,4
289,8
1728,4
1728,36
1728,25
909,2
909,24
909,18
909,29
1492,1
1492,17
1492,31
1005,2
1005,10
1005,24
1005,27
1126,24
1126,36
555,4
555,26
555,22
555,24
555,18
555,27
1249,1
1249,2
1249,4
1249,24
1249,18
1249,38
1249,29
2014,1
2014,4
2014,39
2014,27
959,2
959,8
959,22
959,13
1179,2
1179,24
1179,37
1179,18
1179,29
1179,27
2495,8
2495,36
2495,19
2259,4
2259,10
2259,22
2259,23
2259,25
2036,2
2036,4
2036,8
2036,24
3736,4
3736,10
5200,1
5200,8
5200,30
2521,1
2521,24
2521,18
3561,2
3561,24
3561,18
3561,27
2362,1
2362,24
2362,18
3151,2
3151,24
3151,18
3776,23
7960,1
7960,11
7109,1
7109,2
7109,10
17487,4
17487,7
32590,1
32590,4
32590,18
120,4
120,8
120,22
120,36
120,37
120,25
154,1
154,2
154,4
154,37
154,31
154,27
168,1
168,2
168,8
168,24
168,31
551,1
551,30
551,17
551,27
509,4
509,8
509,22
509,36
509,23
397,1
397,22
397,24
397,38
397,29
1098,2
1098,4
1098,10
1098,27
952,4
1676,1
1676,2
1676,24
1676,38
1676,29
6625,24
6625,18
10360,1
10360,30
10360,27
4940,1
4940,2
7452,4
32580,2
32580,10
270,1
270,14
270,37
270,32
270,42
22,1
22,4
22,30
22,23
22,27
135,4
135,37
135,11
135,27
246,2
246,4
246,10
246,22
246,27
156,1
156,8
156,10
156,22
156,31
156,25
276,4
276,22
276,24
276,9
276,38
181,1
181,24
181,9
181,18
181,29
181,27
1614,1
1614,30
1614,27
1157,1
1157,2
1157,10
1157,24
1157,27
1678,1
1678,2
1678,24
1678,18
1678,27
2390,1
2390,2
2390,4
2390,10
2390,20
831,4
831,10
831,36
682,4
682,10
682,22
682,35
321,1
321,4
321,24
321,9
1145,1
1145,8
1145,7
1145,27
1156,1
1156,8
1156,7
1156,24
580,4
580,47
799,4
799,8
799,36
3012,30
3012,27
1493,1
1493,10
1493,17
1493,23
1493,31
1664,1
1664,2
1664,7
1664,24
1664,37
1664,27
2934,4
3104,1
3104,24
3104,38
9433,10
5018,4
71,1
71,4
71,24
71,18
71,38
195,4
195,8
195,22
195,24
195,23
165,1
165,8
165,7
165,22
165,24
165,18
165,19
165,40
144,8
144,22
144,36
144,37
1669,1
1669,2
1669,4
1669,24
1669,30
1669,27
1019,1
1019,28
1019,8
1019,22
1019,37
1019,13
1019,23
1707,1
1707,4
1707,24
1707,30
1707,17
1707,27
353,4
353,25
1224,1
1224,2
1224,10
1224,22
1224,24
1224,37
1224,19
1224,31
1224,27
652,4
652,24
708,2
708,24
623,2
623,4
623,22
623,23
1597,4
2287,2
2287,4
2287,10
2287,47
2287,11
2287,27
1705,2
1705,8
1705,14
1705,24
1705,37
1705,27
7525,30
59,4
59,8
59,22
59,24
59,9
59,42
66,4
66,36
66,23
48,2
48,10
48,7
48,24
48,11
1132,1
1132,2
1132,4
1132,8
1132,10
1132,27
687,4
687,10
687,22
687,24
687,25
153,1
153,2
153,10
153,37
53,4
53,8
53,22
53,36
53,35
53,42
122,4
122,8
122,22
122,37
122,19
122,25
306,4
306,10
306,9
306,20
107,2
107,4
107,10
107,24
107,27
1710,1
1710,2
1710,4
1710,24
1710,11
1710,18
1710,27
1133,1
1133,4
1133,24
1133,35
1133,18
1133,39
1133,29
1133,27
175,1
175,2
175,22
175,24
175,31
175,27
260,4
260,8
260,22
260,36
260,35
200,4
200,22
200,27
197,4
197,22
197,24
197,9
197,23
162,4
162,10
162,22
162,23
162,27
183,30
183,23
183,27
337,4
337,22
337,37
1706,1
1706,2
1706,8
1706,24
1706,13
1706,42
3006,4
3006,36
3271,2
3271,24
3271,18
1745,1
1745,2
1745,39
1745,27
2732,4
2732,8
31054,4
18005,30
721,4
721,8
721,10
721,7
721,22
7,1
7,8
7,7
7,37
7,39
529,8
529,22
529,24
529,38
529,23
419,2
419,4
419,37
419,13
419,21
419,27
296,1
296,2
296,4
296,10
296,24
296,23
296,27
1127,4
1127,24
1127,9
1628,1
1628,14
1628,37
1628,6
1628,27
231,1
231,4
231,10
231,37
231,42
1623,1
1623,4
1623,24
1623,23
3355,2
20,1
20,2
20,4
20,17
20,31
20,27
467,1
467,24
467,18
467,38
467,39
467,42
387,8
387,10
387,7
387,36
387,40
93,1
93,8
93,22
93,24
93,18
93,38
93,29
132,1
132,4
132,8
132,7
132,37
132,31
132,27
341,8
341,7
341,27
274,1
274,24
274,9
274,18
274,31
277,4
277,8
277,22
277,24
277,9
277,38
17,4
17,36
17,30
17,27
958,1
958,2
958,24
958,18
958,39
327,4
327,10
327,25
2004,4
2004,8
2004,36
2004,37
2004,42
833,1
833,4
833,24
833,18
833,27
1792,1
1792,2
1792,24
1792,18
1792,27
446,1
446,8
446,27
653,4
653,24
835,8
835,22
328,8
328,22
328,36
328,19
328,25
751,1
751,2
751,4
751,24
611,24
611,36
3193,1
3193,2
3193,4
3193,24
3193,27
1947,1
1947,10
1947,18
1712,24
1712,18
1712,27
5473,4
5473,36
202,1
202,2
202,8
202,10
202,7
202,24
298,2
298,4
298,10
298,24
298,11
298,27
1668,1
1668,2
1668,4
1668,24
1668,30
1668,27
1946,2
1946,8
1946,22
1946,13
1946,25
273,8
273,36
273,27
624,1
624,4
624,9
624,35
624,27
266,8
266,22
266,24
266,36
266,18
266,38
266,27
421,4
421,24
421,38
421,27
1097,8
1097,37
1097,9
1097,35
1097,13
1097,18
776,4
776,8
776,22
776,36
776,27
1675,1
1675,24
1675,18
1675,27
1456,1
1456,2
1456,7
1456,39
1667,1
1667,37
1667,6
1667,31
1667,27
3098,1
3098,24
3098,18
7048,30
7048,3
7048,27
16027,4
18447,1
18447,10
18447,31
7750,4
7750,24
486,1
486,2
486,36
486,40
26,1
26,8
26,24
26,40
61,1
61,4
61,10
61,22
61,23
61,25
97,1
97,2
97,24
250,2
250,4
250,37
250,6
250,27
167,2
167,4
167,8
167,10
167,24
167,18
167,27
427,4
427,8
427,10
427,30
427,25
521,2
521,4
521,22
521,19
521,25
618,2
618,14
618,37
618,17
618,21
335,4
335,7
335,37
335,27
230,1
230,4
230,17
230,42
407,4
407,8
407,7
407,39
407,27
178,4
178,22
178,23
178,25
113,1
113,22
113,24
113,18
113,29
610,4
610,8
610,37
610,9
292,8
292,30
292,27
840,4
840,22
840,24
236,2
236,4
236,8
236,24
236,37
236,38
236,27
271,2
271,24
271,18
271,27
1037,1
1037,10
1037,37
1683,4
1683,10
1683,24
684,10
684,22
1083,8
1083,36
1083,30
545,4
545,24
1713,1
1713,2
1713,24
1713,38
1713,27
2382,1
2382,2
2382,24
2382,18
2382,38
3637,2
3637,24
3637,18
2735,1
2735,24
2735,18
2735,27
12809,4
12809,10
20123,4
20123,36
72,1
72,4
72,23
257,9
257,17
257,23
257,31
133,4
133,22
133,36
133,9
133,23
196,4
196,8
196,24
196,35
196,23
62,8
62,22
62,35
838,8
838,41
838,42
261,4
261,22
261,36
261,35
294,2
294,4
294,8
294,24
294,18
294,38
294,29
301,1
301,2
301,4
301,7
301,42
1837,4
1837,8
1837,22
1837,36
1837,37
1837,27
1409,24
1409,30
1409,18
1409,27
1617,4
1617,22
1617,36
1617,43
4104,4
39936,2
121,1
121,2
121,4
121,8
121,10
121,38
121,27
329,8
329,22
329,24
329,29
329,42
60,1
60,22
60,37
60,6
60,13
60,27
134,1
134,8
134,24
134,38
134,40
267,1
267,8
267,24
267,31
267,42
169,1
169,14
169,7
169,22
169,37
169,31
169,32
147,8
147,22
147,36
114,4
114,23
114,27
193,4
193,8
193,22
193,9
193,35
193,23
1050,2
1050,4
1050,24
1050,27
209,1
209,2
209,4
209,8
209,24
209,31
394,4
394,8
394,22
394,36
394,35
394,42
161,1
161,4
161,13
161,21
161,27
385,8
385,10
385,24
385,37
279,10
279,14
279,7
279,37
279,13
279,40
579,4
579,24
579,9
130,1
130,2
130,4
130,8
130,37
130,6
130,43
497,2
497,10
497,26
497,7
497,9
709,1
709,2
709,10
709,24
709,36
620,8
620,10
620,14
620,7
348,4
348,10
348,36
56,2
56,10
56,24
56,27
2108,1
2108,2
2108,4
2108,24
2108,11
2108,18
2108,27
1103,4
1103,22
1103,24
1103,9
1103,18
1490,1
1490,2
1490,8
1490,24
1490,29
344,8
344,24
344,37
344,23
1128,4
1128,22
1128,24
3101,1
3101,2
3101,24
3101,30
3101,3
3101,18
3101,27
592,2
592,10
2501,2
2501,4
7751,4
323,5
323,8
323,7
323,37
323,41
323,39
323,40
801,1
801,7
801,24
801,18
801,38
801,39
801,42
158,8
158,26
158,22
158,36
158,25
603,1
603,4
603,10
603,25
242,4
242,8
242,36
242,23
242,43
204,1
204,4
204,9
204,35
204,31
222,1
222,2
222,4
222,7
222,24
1082,4
1082,8
1082,7
1082,24
1082,9
1082,39
1082,40
284,1
284,8
284,22
284,38
284,27
1246,1
1246,8
1246,7
1246,38
1246,40
1246,42
636,2
636,4
636,8
636,17
636,21
636,27
693,1
693,4
693,8
693,24
693,9
693,39
693,27
148,8
148,22
148,36
1149,2
1149,4
1149,24
1149,18
1149,27
112,1
112,2
112,4
112,10
112,24
112,9
112,31
2391,2
2391,4
2391,10
2391,18
295,2
295,8
295,24
295,18
295,38
295,29
927,2
927,24
927,18
927,29
3638,2
3638,4
2740,1
2740,8
2740,30
2740,27
48260,2
48260,4
48260,10
48260,24
205,1
205,2
205,4
205,13
205,21
205,27
19,8
19,14
19,7
19,41
19,39
19,40
19,42
384,1
384,8
384,14
384,24
384,37
384,9
384,40
174,1
174,4
174,9
174,17
174,23
174,31
174,27
330,4
330,8
330,22
330,9
330,27
18,1
18,8
18,30
18,3
18,42
251,2
251,4
251,10
251,6
251,25
102,4
102,8
102,22
102,25
634,8
634,22
634,36
634,40
634,42
516,4
516,24
516,18
516,20
516,27
109,2
109,4
109,24
109,18
146,4
146,8
146,22
146,24
146,9
417,1
417,10
1110,2
1110,4
1110,22
1110,19
1110,25
252,8
252,7
252,37
252,38
252,40
252,27
872,2
872,4
872,10
340,1
340,13
340,17
340,21
340,27
649,4
649,22
649,9
649,35
131,1
131,2
131,4
131,8
131,37
131,6
131,43
275,4
275,22
275,9
275,35
1086,2
1086,4
1086,22
1086,24
1086,18
1086,38
1086,27
159,2
159,10
159,14
159,24
159,37
159,18
159,40
159,29
159,27
1371,2
1371,8
1371,24
1371,37
1371,13
533,4
533,36
1104,4
1104,22
1104,24
1104,9
1104,18
5967,1
5967,4
5967,24
5967,30
5967,17
5967,27
964,4
964,9
2337,2
2337,8
2337,24
2337,13
2337,18
2337,27
786,4
786,10
786,23
234,2
234,30
234,27
1590,1
1590,2
1590,4
1590,10
3182,4
3182,22
3182,36
3182,43
1574,2
1574,24
1574,18
1574,27
7955,36
226,1
226,8
226,14
226,22
226,37
226,40
226,42
395,1
395,8
395,14
395,24
395,37
395,9
395,40
63,4
63,22
63,24
63,9
63,35
63,27
241,4
241,10
241,22
241,9
241,35
241,23
241,27
166,24
166,13
166,18
166,21
75,1
75,8
75,24
75,18
75,38
229,4
229,17
229,20
483,1
483,8
483,24
483,29
483,31
444,8
444,26
444,22
444,23
444,25
525,2
525,8
525,10
525,13
546,8
546,22
546,37
546,23
648,4
648,8
648,22
648,24
648,35
655,4
655,24
244,7
244,13
1377,8
1377,24
1377,29
2727,1
2727,4
2727,23
2727,25
5343,1
5343,2
5343,4
5343,9
5343,20
5343,42
2741,1
2741,8
2741,30
2741,27
269,1
269,2
269,4
269,37
269,31
269,27
24,4
24,22
24,23
24,27
57,4
57,8
57,36
57,19
57,27
239,8
239,7
239,24
239,37
239,41
64,1
64,4
64,8
64,42
482,1
482,4
482,10
482,11
482,27
240,4
240,36
240,20
25,1
25,2
25,4
25,24
25,9
25,27
98,1
98,4
98,8
98,10
98,26
98,22
98,18
98,23
94,1
94,8
94,22
94,24
94,18
94,38
94,29
76,1
76,4
76,8
76,31
74,4
74,23
74,31
74,25
627,4
627,8
627,30
627,27
28,4
28,47
28,27
343,4
343,10
343,22
343,32
343,42
143,8
143,26
143,22
143,37
143,18
143,27
297,1
297,2
297,4
297,9
297,27
173,4
173,8
173,7
173,37
173,6
173,13
173,27
119,4
119,8
119,22
119,36
125,4
125,22
125,23
2213,8
455,2
455,10
455,7
455,22
455,24
455,41
688,8
688,40
247,10
247,37
247,6
247,13
247,25
29,1
29,8
29,24
29,13
29,38
29,42
1524,8
1524,10
1524,36
1524,37
1524,23
346,8
346,22
346,36
346,35
346,23
8,2
8,10
8,37
8,27
336,10
336,25
600,28
600,8
600,37
600,32
278,1
278,4
278,24
278,27
1746,2
1746,24
1746,18
1746,27
2109,1
2109,2
2109,24
2109,11
2109,18
2109,23
2109,27
1167,1
1167,13
1167,42
685,8
685,22
685,24
685,36
685,35
685,23
613,2
613,10
613,37
613,27
510,4
510,8
510,22
510,35
510,23
23,1
23,30
23,27
1711,2
1711,4
1711,22
1711,24
1711,9
1955,4
1955,10
1955,24
1883,4
35817,4
10242,4
101,8
101,22
101,36
101,37
50,4
50,22
50,37
50,42
157,4
157,10
157,22
157,37
157,9
157,35
157,23
157,31
157,27
325,8
325,22
325,36
325,23
325,25
487,4
487,10
487,22
487,9
487,35
487,23
487,27
1532,28
1532,4
1532,8
1532,22
1532,36
1532,25
519,4
519,8
519,22
519,27
184,1
184,24
184,18
184,29
184,27
1929,1
1929,4
1929,10
1929,25
342,8
342,24
342,38
342,29
406,30
406,27
364,7
364,42
141,24
141,18
485,4
485,36
354,4
354,24
354,9
1196,4
1196,20
928,2
928,24
928,18
928,27
349,8
349,10
349,37
2308,8
2308,37
2308,9
2308,35
2308,13
2308,18
960,2
960,8
960,22
960,13
8189,4
8189,20
25809,4
31696,36
237,2
237,8
237,22
237,24
237,18
16,4
16,8
16,22
16,36
16,43
177,1
177,2
177,10
177,22
177,37
177,27
67,1
67,2
67,10
67,22
67,37
67,13
67,21
27,1
27,37
27,32
15,1
15,4
15,30
15,27
149,1
149,28
149,8
149,10
149,7
149,22
149,37
149,43
479,1
479,2
479,4
479,8
479,37
479,31
479,27
248,4
248,22
248,9
248,35
248,27
198,1
198,7
198,31
1250,2
1250,4
1250,10
1250,22
1250,31
1250,27
412,4
412,36
412,9
478,1
478,22
478,24
478,37
478,18
478,31
345,8
345,22
345,36
345,13
345,42
738,1
738,2
738,4
738,10
738,27
1974,8
1974,25
126,4
126,8
126,22
308,8
308,10
308,7
308,24
308,27
456,4
456,36
456,23
668,4
668,22
668,35
712,1
712,2
712,4
712,18
712,38
2523,2
2523,8
2523,10
2523,22
2523,37
2523,17
2489,4
2489,10
505,4
505,25
706,4
706,8
754,2
754,8
754,10
754,25
4416,1
4416,24
4416,18
4416,31
4050,10
988,1
988,4
988,13
988,38
988,21
3724,11
30138,4
79,4
79,8
79,10
79,22
79,9
79,35
79,23
79,42
73,1
73,18
73,38
390,8
390,22
390,30
390,27
488,4
488,36
411,1
411,2
411,8
411,24
411,18
411,27
591,4
591,22
591,37
591,9
591,35
490,4
490,20
490,23
489,4
489,8
489,36
489,37
1642,10
1642,25
291,4
291,8
291,22
291,37
291,35
470,4
470,8
470,22
470,36
1374,2
1374,24
1374,27
614,22
473,1
473,2
473,8
473,38
473,27
612,4
612,22
612,6
612,23
511,2
511,4
511,10
511,13
309,4
309,20
1035,2
1035,28
1035,4
1035,10
1035,25
3768,1
3768,30
3768,27
9070,4
457,2
457,10
457,7
457,36
457,37
457,13
457,42
355,1
355,8
355,10
355,22
355,37
355,23
150,1
150,8
150,14
150,7
150,37
150,38
150,32
228,14
228,7
228,37
228,40
68,2
68,4
68,24
68,31
68,27
322,4
322,8
322,22
322,36
322,43
469,4
469,22
469,37
469,23
469,32
469,27
477,10
477,24
477,36
477,27
65,1
65,4
65,8
65,42
658,41
658,11
658,40
658,42
584,2
584,8
584,24
584,36
77,1
77,4
77,8
77,31
99,4
99,8
99,10
476,8
476,22
476,30
476,37
670,8
670,22
670,36
152,1
152,24
152,31
694,4
694,8
694,22
694,36
388,30
388,3
388,27
471,4
471,8
471,22
471,36
471,35
471,23
3270,8
3270,24
3270,30
3270,18
3270,27
282,1
282,8
282,7
282,22
282,42
915,2
915,8
915,27
1316,30
1316,11
1316,23
69,1
69,10
69,24
69,38
2110,1
2110,2
2110,24
2110,11
2110,18
2110,27
1123,2
1123,10
1123,37
1123,27
913,1
913,9
913,17
1193,4
1193,10
1193,23
858,8
858,22
858,24
858,36
858,18
858,38
1845,1
1845,24
1845,18
1778,2
1778,4
1778,47
1778,13
280,2
280,4
280,10
280,25
7395,2
7395,10
7395,11
7395,27
4553,10
356,1
356,10
356,22
356,37
790,7
790,24
790,40
710,4
710,8
710,22
710,42
587,4
587,8
587,22
558,4
558,8
558,30
558,27
586,10
586,14
586,7
586,13
886,4
886,22
886,37
886,9
886,35
667,4
667,8
667,26
667,22
667,36
667,23
576,4
576,10
576,22
576,35
576,27
590,4
590,22
590,27
798,8
798,38
798,42
1534,1
1534,4
1534,10
1534,25
750,4
750,36
817,4
817,22
817,24
817,38
1655,4
1655,19
671,8
671,19
577,10
771,8
771,10
771,25
5968,1
5968,4
5968,24
5968,30
5968,17
5968,27
3112,4
3112,9
3112,20
4823,14
4823,37
4823,6
2244,4
2244,13
2232,4
3769,1
3769,30
3769,27
33670,1
33670,2
33670,3
44167,8
853,4
853,22
853,35
853,23
853,25
918,1
918,4
918,24
918,13
918,20
918,21
918,27
889,1
889,42
849,4
849,7
849,24
849,36
849,20
849,23
934,5
934,14
934,7
934,37
934,41
934,40
877,4
877,8
877,22
877,36
877,19
877,25
857,1
857,4
857,30
857,9
857,27
861,4
861,8
861,7
861,37
861,40
856,1
856,8
856,10
856,24
846,4
846,22
846,23
846,27
855,8
855,26
855,22
855,23
969,1
969,2
969,8
969,10
969,7
969,22
969,37
969,27
935,1
935,24
935,31
957,2
957,4
957,8
957,10
957,22
957,13
859,2
859,4
859,8
859,10
859,27
845,2
845,10
845,27
873,2
873,8
873,10
873,24
873,11
962,10
962,24
962,36
962,27
953,1
953,2
953,8
953,7
953,24
953,25
940,4
940,22
940,37
940,9
940,27
880,4
880,22
880,37
880,42
850,28
850,4
850,8
850,22
850,35
850,23
907,4
907,8
907,23
907,25
1212,2
1212,24
1212,18
1212,27
990,4
990,8
990,10
990,22
789,8
789,10
789,37
789,40
916,1
916,4
916,14
916,7
916,37
916,39
916,42
860,1
860,4
860,10
860,6
879,8
879,10
879,26
879,22
879,38
1067,1
1067,22
1067,9
1067,35
1067,18
863,4
863,8
863,36
863,9
863,23
878,1
878,22
878,24
878,18
941,4
941,9
941,20
941,32
1516,4
1516,8
1516,22
1516,25
910,2
910,4
910,17
854,1
854,2
854,4
854,22
854,24
854,38
854,29
944,1
944,2
944,24
944,42
942,4
942,8
942,10
942,7
942,22
919,8
919,22
919,24
2214,1
2214,8
973,2
973,24
1410,24
1410,30
1410,18
1410,27
943,8
943,10
943,36
2619,1
2619,2
2619,18
1070,4
1070,22
1881,10
1881,23
1200,2
1200,10
1200,21
2713,1
2713,2
2713,24
2713,11
2713,18
2713,27
1886,4
1886,25
965,4
965,10
965,36
4114,4
4114,10
20945,1
20945,2
20945,4
20945,24
968,1
968,4
968,17
968,23
968,27
2786,1
2786,10
2786,6
2786,11
2786,27
1884,4
1771,1
1771,30
1771,27
4737,4
4737,20
4737,31
6077,4
6077,10
2024,4
2024,13
3414,4
13503,4
13503,20
9821,4
9821,13
32417,4
1195,1
1195,2
1195,4
1195,10
1195,22
1195,9
1195,35
1195,23
1210,4
1210,8
1210,22
1210,40
1222,8
1222,22
1222,36
1222,25
1142,8
1142,22
1142,36
1142,43
1454,1
1454,14
1454,22
1454,37
1454,6
1013,7
1013,37
1013,13
1013,42
1218,4
1218,8
1218,22
1218,9
1218,23
1221,1
1221,4
1221,24
1221,36
1221,23
1221,31
1221,25
1243,8
1243,7
1243,24
1243,37
1243,40
1230,2
1230,8
1230,24
1230,18
1230,38
1509,2
1509,4
1509,22
1509,25
1219,4
1219,8
1219,22
1219,9
1214,4
1214,8
1214,36
1214,42
1194,1
1194,2
1194,4
1194,24
1194,18
1194,27
1738,1
1738,4
1738,17
1738,20
1738,27
1198,4
1198,22
1198,36
1198,23
1578,2
1578,4
1578,8
1578,10
1578,22
1578,24
1578,25
607,2
607,4
607,10
1812,24
1247,2
1247,4
1247,24
1247,27
2518,4
1740,1
1740,8
1740,39
1740,42
7629,4
7629,8
7629,36
1535,7
1535,37
1535,41
1535,39
1535,40
1535,27
1575,1
1575,8
1575,24
1575,18
1575,38
1575,23
1575,31
1482,1
1482,2
1482,4
1482,6
1482,31
1482,27
1604,1
1604,4
1604,31
1604,27
1519,1
1519,42
1559,1
1559,4
1559,17
1559,23
1559,27
1530,8
1530,22
1530,36
1530,37
1571,14
1571,7
1571,37
1571,25
1536,1
1536,4
1536,10
1536,37
1536,23
1536,27
1594,14
1594,7
1594,37
1594,40
1562,4
1562,25
1606,1
1606,2
1606,4
1606,37
1606,6
1606,27
1498,1
1498,4
1498,10
1498,37
1498,32
1498,27
1579,4
1579,8
1579,22
1579,35
1579,19
1579,23
1579,25
1546,2
1546,4
1546,10
1546,22
1546,37
1546,9
1546,35
1546,23
1589,8
1589,47
1589,36
1589,42
1568,1
1568,4
1568,22
1568,17
1568,42
1569,4
1569,8
1569,22
1569,23
1557,1
1557,10
1557,37
1557,6
1557,13
1557,25
1601,8
1601,7
1538,1
1538,4
1538,8
1538,38
1543,4
1543,22
1543,24
1543,23
1555,4
1555,22
1555,35
1555,23
1570,4
1570,22
1570,35
1570,23
1581,4
1581,8
1581,22
1581,35
1581,23
1588,4
1588,22
1588,23
1554,8
1554,37
1592,4
1592,8
1592,22
1592,36
1592,42
1602,8
1602,24
1602,9
1602,18
1602,38
1602,29
1583,1
1583,24
1583,18
1583,42
1587,37
1587,6
1587,13
6609,4
6609,22
6609,20
1912,28
1912,22
1912,23
1591,4
1591,22
1591,23
1835,1
1835,24
1835,11
1835,27
1541,1
1541,13
1541,17
1703,1
1703,8
1561,19
1868,2
1868,8
1868,22
1868,18
1603,1
1603,24
1603,18
1600,4
1600,24
1882,10
1882,23
2717,1
2717,2
2717,8
2717,24
2717,29
17291,1
17291,4
17291,10
17291,11
17291,27
1863,2
1863,10
1863,13
22345,4
8345,4
8345,36
3372,2
1735,1
1735,2
1735,4
1735,17
1735,31
1735,27
1698,4
1698,8
1698,22
1698,36
1698,19
1698,43
1860,1
1860,8
1860,10
1860,14
1860,37
1860,17
1860,23
1956,1
1956,9
1956,17
1956,23
1956,31
1852,4
1852,36
1852,23
1852,42
1842,8
1842,30
1842,27
1836,4
1836,8
1836,10
1836,22
1836,9
1836,35
1836,23
1836,42
1810,8
1810,22
1810,27
1858,4
1858,36
1858,23
1607,8
1607,22
1607,37
1695,8
1695,36
1695,13
1695,25
1932,1
1932,10
1932,23
1932,25
1988,4
1988,22
1864,8
1864,10
1864,22
1864,35
1864,25
1693,1
1693,24
1693,18
1942,2
1942,24
1942,29
1865,4
1865,24
1865,20
1724,2
1724,10
1991,18
9806,1
9806,10
9806,13
9806,17
3146,2
3146,24
3146,18
3146,38
3146,27
1885,4
1885,10
1885,11
41115,2
41115,30
41115,3
41115,38
36881,4
41118,4
41118,8
41118,13
41118,20
41114,4
41114,36
41156,4
41156,20
2001,1
2001,2
2001,4
2001,24
2001,18
2025,1
2025,7
2025,24
2025,31
1818,1
1818,2
1818,10
1818,37
1818,6
1818,31
1818,27
1887,4
1887,36
1887,20
1887,23
2034,4
2034,22
2034,25
1691,1
1691,22
1691,37
1292,1
1292,2
1292,21
2104,4
2104,22
2104,20
2104,23
2104,27
2026,1
2026,4
2026,22
2026,35
2026,20
2026,27
1827,1
1827,2
1827,10
1827,13
1699,8
1699,10
1699,22
1699,13
1690,8
1690,24
1690,18
1690,40
1690,42
2164,2
2164,4
2164,8
2164,7
2164,24
2002,1
2002,24
2002,18
2002,38
2002,29
1965,8
1965,22
1965,36
1965,37
1722,4
1722,10
1722,22
1722,9
1722,35
1722,27
2159,4
2159,30
2159,42
2156,1
2156,10
2156,11
2130,1
2130,4
2130,14
2130,37
2130,32
2130,27
2158,1
2158,8
2158,24
2158,38
2158,29
2158,27
1915,1
1915,4
1915,8
1915,31
2030,2
2030,8
2030,7
2142,2
2142,4
2142,10
2142,37
1808,4
1808,10
1808,22
1808,23
1808,25
2112,30
2112,27
1914,2
1914,4
1914,8
1914,10
1914,22
1914,13
2031,1
2031,2
2031,10
1727,8
1727,10
1727,22
1727,19
1727,23
2161,1
2161,7
2161,31
2035,8
2035,22
2035,36
2035,13
2035,42
1694,1
1694,4
1694,24
1694,18
2155,22
2155,35
2155,23
1721,8
1721,22
1721,36
1721,23
1721,42
2105,8
2105,22
2105,37
2152,4
2152,8
2152,10
2152,24
2152,13
10870,4
10870,24
10870,18
1941,2
1941,8
1941,24
1941,29
2106,24
2106,18
2106,38
2162,2
2162,13
2162,27
2032,1
2032,2
2032,4
2032,8
2032,10
2032,13
2153,10
2215,24
2215,18
1878,8
1878,13
1878,25
2157,24
2157,18
2165,4
2165,10
2165,14
2620,1
2620,2
2620,18
5520,4
5520,10
9200,2
9200,4
9200,47
9200,13
7522,1
7522,2
7522,10
19467,4
19467,8
19467,25
20087,11
32418,4
2251,1
2251,4
2251,7
2251,37
2251,13
2476,8
