id,naslov,studio,zanri,dolzina,vir,tip,stevilo,ocena
1465,Hakaima Sadamitsu,Studio Deen,"1,24,18,23,42",10,Manga,TV,"5,252",6.86

1962,Chikyuu Bouei Kazoku,Group TAC,"1,4,8,24",13,Original,TV,"1,725",6.60

34490,Sushi Azarashi,M.S.C,4,30,Picture book,TV,245,N/A

874,Digimon Tamers,Toei Animation,"2,4,8,10,27",51,Original,TV,"174,397",7.63

272,Noir,Bee Train,"1,8,7",26,Original,TV,"99,616",7.30

100,Shin Shirayuki-hime Densetsu Prétear,Hal Film Maker,"4,8,10,22,31,25",13,Manga,TV,"56,905",7.18

52,Kidou Tenshi Angelic Layer,Bones,"4,8,24,30,27",26,Manga,TV,"53,200",7.26

253,Jungle wa Itsumo Hare nochi Guu,Shin-Ei Animation,"4,36,23",26,Manga,TV,"30,946",7.83

403,Hanaukyou Maid-tai,Daume,"4,22,9,35",12,Manga,TV,"28,616",6.59

383,Galaxy Angel,Madhouse,"4,24",24,Game,TV,"25,469",7.02

1048,The SoulTaker: Tamashii-gari,Tatsunoko Production,"14,37,6",13,Original,TV,"23,400",6.36

836,Sister Princess,Zexcs,"4,8,22,36,35",26,Light novel,TV,"22,243",6.40

1164,Mahou Senshi Louie,J.C.Staff,"2,4,10,27",24,Light novel,TV,"19,177",7.16

289,Comic Party,OLM,"4,8",13,Visual novel,TV,"17,758",6.58

1728,Super GALS! Kotobuki Ran,Studio Pierrot,"4,36,25",52,Manga,TV,"17,630",7.39

909,Geneshaft,Satelight,"2,24,18,29",13,Original,TV,"12,589",6.36

1492,Project ARMS,TMS Entertainment,"1,17,31",26,Manga,TV,"11,906",6.97

1005,Star Ocean EX,Studio Deen,"2,10,24,27",26,Game,TV,"11,873",6.59

1126,Figure 17: Tsubasa &amp; Hikaru,OLM,"24,36",13,Original,TV,"11,766",7.21

555,Koutetsu Tenshi Kurumi 2,OLM,"4,26,22,24,18,27",12,Original,TV,"10,949",6.28

1249,"Zone of the Enders: Dolores, I",Sunrise,"1,2,4,24,18,38,29",26,Game,TV,"10,666",6.96

2014,Taiho Shichau zo: Second Season,Studio Deen,"1,4,39,27",26,Manga,TV,"9,138",7.41

959,Shin Chou Kyou Ryo: Condor Hero,Nippon Animation,"2,8,22,13",26,Novel,TV,"8,148",7.33

1179,Gakuen Senki Muryou,Madhouse,"2,24,37,18,29,27",26,Original,TV,"6,282",7.03

2495,Chance Triangle Session,Madhouse,"8,36,19",13,Radio,TV,"4,957",6.51

2259,Dr. Rin ni Kiitemite!,Studio Comet,"4,10,22,23,25",51,Manga,TV,"3,718",6.76

2036,Cosmic Baton Girl Comet-san☆,Nippon Animation,"2,4,8,24",43,Manga,TV,"3,465",7.18

3736,Parappa the Rapper,J.C.Staff,"4,10",30,Game,TV,"3,237",6.10

5200,Offside (TV),Ashi Production,"1,8,30",39,Manga,TV,"2,982",7.15

2521,Haja Kyosei G Dangaiou,AIC,"1,24,18",13,-,TV,"2,608",5.40

3561,Dennou Boukenki Webdiver,Nippon Animation,"2,24,18,27",52,Original,TV,"2,149",6.92

2362,Run=Dim,-,"1,24,18",13,Game,TV,"2,127",5.04

3151,Genei Toushi Bastof Lemon,Dongwoo A&amp;E,"2,24,18",26,-,TV,"1,142",6.13

3776,Go! Go! Itsutsugo Land,Eiken,23,50,-,TV,824,6.51

7960,Pachislo Kizoku Gin,Actas,"1,11",23,-,TV,720,N/A

7109,Gyouten Ningen Batsealer,-,"1,2,10",52,-,TV,484,6.47

17487,Tantei Shounen Kageman,Studio Hibari,"4,7",39,-,TV,254,N/A

32590,Taeng-gu &amp; Ulasyong,-,"1,4,18",26,Original,TV,213,N/A

120,Fruits Basket,Studio Deen,"4,8,22,36,37,25",26,Manga,TV,"480,986",7.68

154,Shaman King,Xebec,"1,2,4,37,31,27",64,Manga,TV,"324,831",7.77

168,s.CRY.ed,Sunrise,"1,2,8,24,31",26,Original,TV,"75,698",7.37

551,Grappler Baki: Saidai Tournament-hen,Group TAC,"1,30,17,27",24,Manga,TV,"55,704",7.46

509,I My Me! Strawberry Eggs,TNK,"4,8,22,36,23",13,Original,TV,"35,000",6.79

397,Seikai no Senki II,Sunrise,"1,22,24,38,29",10,Light novel,TV,"21,335",7.82

1098,Samurai Girl Real Bout High School,Gonzo,"2,4,10,27",13,Light novel,TV,"9,285",5.95

952,Magical Nyan Nyan Taruto,Madhouse,4,12,-,TV,"6,395",6.23

1676,Cosmo Warrior Zero,Vega Entertainment,"1,2,24,38,29",13,Game,TV,"4,798",6.56

6625,Saiko Robot Kombock,4Kids Entertainment,"24,18",61,4-koma manga,TV,880,6.20

10360,Kinniku Banzuke: Kongou-kun no Daibouken!,Studio Pierrot,"1,30,27",3,Other,TV,546,5.22

4940,Sabaku no Kaizoku! Captain Kuppa,-,"1,2",26,Manga,TV,461,N/A

7452,Mini Moni Yaru no da Pyon!,-,4,66,Other,TV,387,5.38

32580,Uniminipet,-,"2,10",26,-,TV,261,N/A

270,Hellsing,Gonzo,"1,14,37,32,42",13,Manga,TV,"611,311",7.49

22,Tennis no Ouji-sama,Trans Arts,"1,4,30,23,27",178,Manga,TV,"157,441",7.88

135,Hikaru no Go,Studio Pierrot,"4,37,11,27",75,Manga,TV,"120,326",8.09

246,Groove Adventure Rave,Studio Deen,"2,4,10,22,27",51,Manga,TV,"90,231",7.24

156,X,Madhouse,"1,8,10,22,31,25",24,Manga,TV,"73,782",7.42

276,Mahoromatic: Automatic Maiden,Gainax,"4,22,24,9,38",12,Manga,TV,"56,260",7.17

181,Vandread: The Second Stage,Gonzo,"1,24,9,18,29,27",13,Original,TV,"49,476",7.41

1614,Captain Tsubasa: Road to 2002,Group TAC,"1,30,27",52,Manga,TV,"48,230",7.41

1157,Final Fantasy: Unlimited,Gonzo,"1,2,10,24,27",25,Game,TV,"33,823",6.19

1678,Cyborg 009: The Cyborg Soldier,Brain&#039;s Base,"1,2,24,18,27",50,Manga,TV,"28,963",7.26

2390,Hoshi no Kirby,Studio Comet,"1,2,4,10,20",100,Game,TV,"26,236",6.82

831,Chicchana Yukitsukai Sugar,J.C.Staff,"4,10,36",24,Original,TV,"21,421",7.07

682,Otogi Story Tenshi no Shippo,Tokyo Kids,"4,10,22,35",12,Original,TV,"13,659",6.54

321,Najica Dengeki Sakusen,Amber Film Works,"1,4,24,9",12,Original,TV,"13,496",5.99

1145,Kaze no Youjinbou,Studio Pierrot,"1,8,7,27",25,Original,TV,"12,200",7.18

1156,I: Wish You Were Here,Gonzo,"1,8,7,24",4,Original,TV,"9,158",6.06

580,Kogepan,Studio Pierrot,"4,47",10,Other,TV,"5,838",6.82

799,Kokoro Toshokan,Studio Deen,"4,8,36",13,Manga,TV,"5,776",6.51

3012,Gekitou! Crush Gear Turbo,Sunrise,"30,27",68,-,TV,"5,541",6.80

1493,Project ARMS: The 2nd Chapter,TMS Entertainment,"1,10,17,23,31",26,Manga,TV,"5,297",7.05

1664,Babel Nisei (2001),Vega Entertainment,"1,2,7,24,37,27",13,Manga,TV,"3,073",5.73

2934,Shiawase Sou no Okojo-san,Radix,4,51,Manga,TV,"2,677",6.47

3104,Geisters: Fractions of the Earth,-,"1,24,38",26,Original,TV,"1,398",5.74

9433,A-jang.com,-,10,13,-,TV,596,5.64

5018,Piroppo,Studio 4°C,4,23,Other,TV,576,5.52

71,Full Metal Panic!,Gonzo,"1,4,24,18,38",24,Light novel,TV,"441,164",7.63

195,Onegai☆Teacher,Daume,"4,8,22,24,23",12,Original,TV,"158,234",7.14

165,RahXephon,Bones,"1,8,7,22,24,18,19,40",26,Original,TV,"106,708",7.41

144,Kanon,Toei Animation,"8,22,36,37",13,Visual novel,TV,"59,109",7.09

1669,Bakuten Shoot Beyblade 2002,Nippon Animation,"1,2,4,24,30,27",51,Manga,TV,"58,743",6.68

1019,Honoo no Mirage,Madhouse,"1,28,8,22,37,13,23",13,Light novel,TV,"20,975",6.54

1707,Kinnikuman II Sei,Toei Animation,"1,4,24,30,17,27",51,Manga,TV,"14,411",6.90

353,Ojamajo Doremi Dokkaan!,Toei Animation,"4,25",51,Original,TV,"13,674",7.63

1224,Aquarian Age: Sign for Evolution,Madhouse,"1,2,10,22,24,37,19,31,27",13,Card game,TV,"12,357",6.09

652,Galaxy Angel Z,Madhouse,"4,24",9,Original,TV,"9,243",7.17

708,Patapata Hikousen no Bouken,Telecom Animation Film,"2,24",26,Novel,TV,"6,796",7.57

623,Shichinin no Nana,A.C.G.T.,"2,4,22,23",25,Manga,TV,"5,480",6.75

1597,Panyo Panyo Di Gi Charat,Madhouse,4,48,-,TV,"4,904",6.68

2287,Kakutou Ryouri Densetsu Bistro Recipe,Group TAC,"2,4,10,47,11,27",26,Manga,TV,"4,377",6.04

1705,Genma Taisen: Shinwa Zenya no Shou,E&amp;G Films,"2,8,14,24,37,27",13,Manga,TV,"1,680",5.03

7525,Kick Off 2002,-,30,26,Game,TV,396,N/A

59,Chobits,Madhouse,"4,8,22,24,9,42",26,Manga,TV,"431,530",7.41

66,Azumanga Daioh,J.C.Staff,"4,36,23",26,4-koma manga,TV,"283,190",7.97

48,.hack//Sign,Bee Train,"2,10,7,24,11",26,Original,TV,"166,512",6.96

1132,Digimon Frontier,Toei Animation,"1,2,4,8,10,27",50,Original,TV,"138,842",7.15

687,Tokyo Mew Mew,Studio Pierrot,"4,10,22,24,25",52,Manga,TV,"128,665",7.01

153,Juuni Kokuki,Studio Pierrot,"1,2,10,37",45,Novel,TV,"124,423",8.04

53,Ai Yori Aoshi,J.C.Staff,"4,8,22,36,35,42",24,Manga,TV,"100,486",7.12

122,Full Moon wo Sagashite,Studio Deen,"4,8,22,37,19,25",52,Manga,TV,"97,310",7.94

306,Abenobashi Mahou☆Shoutengai,Gainax,"4,10,9,20",13,Original,TV,"78,259",7.24

107,Ou Dorobou Jing,Studio Deen,"2,4,10,24,27",13,Manga,TV,"34,452",7.22

1710,Rockman.EXE,Xebec,"1,2,4,24,11,18,27",56,Game,TV,"34,014",6.92

1133,Tenchi Muyou! GXP,AIC,"1,4,24,35,18,39,29,27",26,Original,TV,"27,681",7.17

175,Tokyo Underground,Studio Pierrot,"1,2,22,24,31,27",26,Manga,TV,"26,722",6.61

260,Happy☆Lesson (TV),Studio Hibari,"4,8,22,36,35",13,Manga,TV,"25,143",6.64

200,Tenshi na Konamaiki,TMS Entertainment,"4,22,27",50,Manga,TV,"24,411",7.46

197,Rizelmine,Imagin,"4,22,24,9,23",24,Manga,TV,"22,965",6.53

162,Pita Ten,Madhouse,"4,10,22,23,27",26,Manga,TV,"21,488",6.93

183,Whistle!,Studio Comet,"30,23,27",39,Manga,TV,"12,896",7.38

337,Psychic Academy,E&amp;G Films,"4,22,37",24,Manga,TV,"10,468",6.23

1706,Gun Frontier,Vega Entertainment,"1,2,8,24,13,42",13,Manga,TV,"9,010",6.56

3006,Atashin&#039;chi,Shin-Ei Animation,"4,36",330,Manga,TV,"4,116",7.27

3271,Bakutou Sengen Daigunder,Brain&#039;s Base,"2,24,18",39,Original,TV,"2,626",6.69

1745,Wild 7 Another Bouryaku Unga,E&amp;G Films,"1,2,39,27",13,Manga,TV,881,5.26

2732,Baby Baachan,-,"4,8",53,Original,TV,769,6.54

31054,"Letchu, Getchu, Saru Getchu",-,4,76,Game,TV,373,N/A

18005,Forza! Hidemaru,-,30,26,-,TV,345,N/A

721,Princess Tutu,Hal Film Maker,"4,8,10,7,22",38,Original,TV,"142,576",8.12

7,Witch Hunter Robin,Sunrise,"1,8,7,37,39",26,Original,TV,"101,390",7.26

529,Saishuu Heiki Kanojo,Gonzo,"8,22,24,38,23",13,Manga,TV,"87,852",7.16

419,Samurai Deeper Kyou,Studio Deen,"2,4,37,13,21,27",26,Manga,TV,"51,476",6.91

296,Dragon Drive,Madhouse,"1,2,4,10,24,23,27",38,Manga,TV,"21,308",6.71

1127,UFO Princess Valkyrie,TNK,"4,24,9",12,Manga,TV,"18,084",6.73

1628,Maou Dante,Magic Bus,"1,14,37,6,27",13,Manga,TV,"8,796",6.03

231,Asagiri no Miko,Chaos Project,"1,4,10,37,42",26,Manga,TV,"6,939",6.14

1623,G-On Riders,Shaft,"1,4,24,23",13,Original,TV,"4,118",5.80

3355,Fortune Dogs,Vega Entertainment,2,39,Original,TV,969,6.52

20,Naruto,Studio Pierrot,"1,2,4,17,31,27",220,Manga,TV,"2,289,448",7.95

467,Koukaku Kidoutai: Stand Alone Complex,Production I.G,"1,24,18,38,39,42",26,Manga,TV,"351,446",8.43

387,Haibane Renmei,Radix,"8,10,7,36,40",13,Other,TV,"233,618",7.98

93,Mobile Suit Gundam SEED,Sunrise,"1,8,22,24,18,38,29",50,Original,TV,"148,965",7.77

132,GetBackers,Studio Deen,"1,4,8,7,37,31,27",49,Manga,TV,"111,193",7.60

341,Spiral: Suiri no Kizuna,J.C.Staff,"8,7,27",25,Manga,TV,"48,859",7.24

274,Kiddy Grade,Gonzo,"1,24,9,18,31",24,Original,TV,"42,048",7.20

277,Mahoromatic: Motto Utsukushii Mono,Gainax,"4,8,22,24,9,38",14,Manga,TV,"29,847",7.16

17,Hungry Heart: Wild Striker,Nippon Animation,"4,36,30,27",52,Manga,TV,"21,988",7.56

958,HeatGuy J,Satelight,"1,2,24,18,39",25,Original,TV,"16,506",7.15

327,Puchi Pri*Yucie,AIC,"4,10,25",26,Original,TV,"13,026",7.42

2004,Hanada Shounen-shi,Madhouse,"4,8,36,37,42",25,Manga,TV,"12,958",8.00

833,Choujuushin Gravion,Gonzo,"1,4,24,18,27",13,Original,TV,"11,921",6.39

1792,Overman King Gainer,Sunrise,"1,2,24,18,27",26,Original,TV,"11,052",6.91

446,Weiß Kreuz Glühen,ufotable,"1,8,27",13,-,TV,"9,360",6.57

653,Galaxy Angel 3,Madhouse,"4,24",26,Original,TV,"8,617",7.29

835,Sister Princess: Re Pure,Zexcs,"8,22",13,Light novel,TV,"8,305",6.26

328,Piano (TV),OLM,"8,22,36,19,25",10,Original,TV,"8,073",6.01

751,Bomberman Jetters,Studio Deen,"1,2,4,24",52,Game,TV,"3,718",6.89

611,Platonic Chain,-,"24,36",24,Novel,TV,"3,277",5.63

3193,Asobot Senki Gokuu,Studio Egg,"1,2,4,24,27",52,Manga,TV,"2,948",6.59

1947,Kikou Sennyo Rouran,Zexcs,"1,10,18",28,Original,TV,"1,787",5.81

1712,Shin Seiki Den Mars,Plum,"24,18,27",13,Manga,TV,"1,179",5.66

5473,Tsuri Baka Nisshi,Toei Animation,"4,36",36,Manga,TV,392,N/A

202,Wolf&#039;s Rain,Bones,"1,2,8,10,7,24",26,Original,TV,"292,578",7.81

298,.hack//Tasogare no Udewa Densetsu,Bee Train,"2,4,10,24,11,27",12,Manga,TV,"62,879",6.58

1668,Bakuten Shoot Beyblade G Revolution,Madhouse,"1,2,4,24,30,27",52,Manga,TV,"42,853",6.93

1946,Ashita no Nadja,Toei Animation,"2,8,22,13,25",50,Original,TV,"27,071",7.59

273,Mahoutsukai ni Taisetsu na Koto,J.C.Staff,"8,36,27",12,Manga,TV,"23,608",6.73

624,Mouse,Production Reed,"1,4,9,35,27",12,Manga,TV,"18,037",6.00

266,Gunparade March: Arata Naru Kougunka,J.C.Staff,"8,22,24,36,18,38,27",12,Game,TV,"14,773",6.77

421,Stratos 4,Studio Fantasia,"4,24,38,27",13,Original,TV,"10,400",6.66

1097,Lime-iro Senkitan,Studio Hibari,"8,37,9,35,13,18",13,Visual novel,TV,"9,629",5.93

776,Nanaka 6/17,J.C.Staff,"4,8,22,36,27",12,Manga,TV,"8,330",6.60

1675,Chou Robot Seimeitai Transformers Micron Densetsu,Actas,"1,24,18,27",52,-,TV,"8,123",6.77

1456,L/R: Licensed by Royal,TNK,"1,2,7,39",12,Original,TV,"4,080",6.46

1667,Majuu Sensen: The Apocalypse,Discotek Media,"1,37,6,31,27",13,Manga,TV,"1,867",5.15

3098,Shutsugeki! Machine Robo Rescue,Sunrise,"1,24,18",53,-,TV,"1,531",6.74

7048,Crush Gear Nitro,Sunrise,"30,3,27",50,-,TV,"1,439",6.21

16027,Garakuta-doori no Stain,Funimation,4,39,Other,TV,951,6.31

18447,Spheres,-,"1,10,31",26,-,TV,573,N/A

7750,DigiGirl Pop!: Strawberry &amp; Pop Mix Flavor,Creators Dot Com,"4,24",26,-,TV,424,N/A

486,Kino no Tabi: The Beautiful World,A.C.G.T.,"1,2,36,40",13,Light novel,TV,"255,757",8.31

26,Texhnolyze,Madhouse,"1,8,24,40",22,Original,TV,"204,680",7.77

61,D.N.Angel,Xebec,"1,4,10,22,23,25",26,Manga,TV,"174,206",7.18

97,Last Exile,Gonzo,"1,2,24",26,Original,TV,"157,275",7.81

250,Konjiki no Gash Bell!!,Toei Animation,"2,4,37,6,27",150,Manga,TV,"107,904",7.54

167,Scrapped Princess,Bones,"2,4,8,10,24,18,27",24,Light novel,TV,"86,124",7.40

427,Kaleido Star,Gonzo,"4,8,10,30,25",51,Original,TV,"74,847",7.92

521,Mermaid Melody Pichi Pichi Pitch,Actas,"2,4,22,19,25",52,Manga,TV,"67,728",7.08

618,Juubee Ninpuuchou: Ryuuhougyoku-hen,Madhouse,"2,14,37,17,21",13,Original,TV,"36,575",6.68

335,Matantei Loki Ragnarok,Studio Deen,"4,7,37,27",26,Manga,TV,"35,616",7.27

230,Air Master,Toei Animation,"1,4,17,42",27,Manga,TV,"34,783",7.00

407,Tantei Gakuen Q,Studio Pierrot,"4,8,7,39,27",45,Manga,TV,"30,805",7.75

178,Ultra Maniac,Production Reed,"4,22,23,25",26,Manga,TV,"29,578",7.17

113,Uchuu no Stellvia,Xebec,"1,22,24,18,29",26,Original,TV,"22,037",7.37

610,Popotan,Shaft,"4,8,37,9",12,Visual novel,TV,"21,949",6.29

292,Dear Boys,A.C.G.T.,"8,30,27",26,Manga,TV,"19,974",6.82

840,Narue no Sekai,Studio Live,"4,22,24",12,Manga,TV,"17,168",6.56

236,E&#039;s Otherwise,Studio Pierrot,"2,4,8,24,37,38,27",26,Manga,TV,"15,232",6.63

271,Gad Guard,Gonzo,"2,24,18,27",26,Original,TV,"12,520",6.68

1037,Saint Beast: Seijuu Kourin-hen,Tokyo Kids,"1,10,37",6,-,TV,"8,388",6.00

1683,Di Gi Charat Nyo,Madhouse,"4,10,24",104,-,TV,"6,376",7.06

684,Tenshi no Shippo Chu!,Tokyo Kids,"10,22",11,-,TV,"5,133",6.53

1083,Human Crossing,A.C.G.T.,"8,36,30",13,Manga,TV,"3,367",6.29

545,Mousou Kagaku Series: Wandaba Style,TNK,"4,24",12,Original,TV,"3,151",6.02

1713,Submarine Super 99,Vega Entertainment,"1,2,24,38,27",13,Manga,TV,"1,658",6.19

2382,Firestorm,Trans Arts,"1,2,24,18,38",26,Original,TV,"1,263",5.54

3637,Jikuu Boukenki Zentrix,Bandai Entertainment,"2,24,18",52,Original,TV,829,6.14

2735,Mugen Senki Portriss,Dongwoo A&amp;E,"1,24,18,27",52,-,TV,420,N/A

12809,Wonder Bebil-kun,Radix,"4,10",30,-,TV,282,N/A

20123,Kappamaki,Trans Arts,"4,36",130,-,TV,253,N/A

72,Full Metal Panic? Fumoffu,Kyoto Animation,"1,4,23",12,Light novel,TV,"269,326",8.05

257,Ikkitousen,J.C.Staff,"9,17,23,31",13,Manga,TV,"140,831",6.42

133,Green Green,Studio Matrix,"4,22,36,9,23",12,Visual novel,TV,"110,160",6.18

196,Onegai☆Twins,Daume,"4,8,24,35,23",12,Original,TV,"81,648",6.85

62,D.C.: Da Capo,feel.,"8,22,35",26,Visual novel,TV,"70,957",6.74

838,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,Planet,"8,41,42",13,Manga,TV,"31,693",6.03

261,Happy☆Lesson: Advance,Studio Hibari,"4,22,36,35",13,Manga,TV,"13,656",6.81

294,Divergence Eve,Radix,"2,4,8,24,18,38,29",13,Original,TV,"11,230",5.91

301,Cinderella Boy,Magic Bus,"1,2,4,7,42",13,Manga,TV,"6,387",6.31

1837,Rumiko Takahashi Anthology,Geneon Entertainment USA,"4,8,22,36,37,27",12,Light novel,TV,"5,311",6.80

1409,IGPX: Immortal Grand Prix,Bee Train,"24,30,18,27",5,Original,TV,"3,853",6.55

1617,Massugu ni Ikou.,Yumeta Company,"4,22,36,43",4,Manga,TV,"3,289",6.45

4104,Mini Moni the TV,-,4,15,-,TV,558,5.44

39936,Nezha Chuan Qi,-,2,52,Original,TV,314,N/A

121,Fullmetal Alchemist,Bones,"1,2,4,8,10,38,27",51,Manga,TV,"1,292,010",8.13

329,Planetes,Sunrise,"8,22,24,29,42",26,Manga,TV,"215,044",8.28

60,Chrno Crusade,Gonzo,"1,22,37,6,13,27",24,Manga,TV,"207,770",7.64

134,Gunslinger Girl,Madhouse,"1,8,24,38,40",13,Manga,TV,"170,654",7.40

267,Gungrave,Madhouse,"1,8,24,31,42",26,Game,TV,"165,688",7.85

169,Shingetsutan Tsukihime,J.C.Staff,"1,14,7,22,37,31,32",12,Visual novel,TV,"147,099",6.87

147,Kimi ga Nozomu Eien,Studio Fantasia,"8,22,36",14,Visual novel,TV,"130,281",7.21

114,Sakigake!! Cromartie Koukou,Production I.G,"4,23,27",26,Manga,TV,"120,559",7.92

193,Maburaho,J.C.Staff,"4,8,22,9,35,23",24,Light novel,TV,"89,883",6.77

1050,Bobobo-bo Bo-bobo,Toei Animation,"2,4,24,27",76,Manga,TV,"80,779",7.49

209,R.O.D: The TV,J.C.Staff,"1,2,4,8,24,31",26,Manga,TV,"63,856",7.54

394,Ai Yori Aoshi: Enishi,J.C.Staff,"4,8,22,36,35,42",12,Manga,TV,"54,263",7.14

161,Peace Maker Kurogane,Gonzo,"1,4,13,21,27",24,Manga,TV,"53,087",7.32

385,Gilgamesh,Group TAC,"8,10,24,37",26,Manga,TV,"35,876",6.64

